ticker,signal_mode,days,rank,ob_value,os_value,stop_ticks,take_profit_ticks,trailing_stop_ticks,breakeven_ticks,atr_ratio_min,max_hold_minutes,n_trades,win_rate,total_pnl,profit_factor,max_drawdown,avg_hold_candles,exit_stop_loss,exit_take_profit,exit_trailing_stop,exit_breakeven_stop,exit_timeout,exit_eod_close,exit_other
AFLT,mean_reversion,60,0,80.0,20.0,80,240,56,68,0.7,,94,44.7,-18.87,0.8,30.47,29.3,0,0,7,0,87,0,0
AFLT,mean_reversion,60,1,80.0,10.0,56,112,0,0,0.7,150,59,49.2,11.31,1.23,15.3,29.9,1,0,0,0,58,0,0
AFLT,mean_reversion,60,2,80.0,10.0,56,112,0,48,0.7,150,59,49.2,11.31,1.23,15.3,29.9,1,0,0,0,58,0,0
AFLT,mean_reversion,60,3,80.0,10.0,56,168,0,0,0.7,150,59,49.2,11.31,1.23,15.3,29.9,1,0,0,0,58,0,0
AFLT,mean_reversion,60,4,80.0,10.0,56,168,0,48,0.7,150,59,49.2,11.31,1.23,15.3,29.9,1,0,0,0,58,0,0
AFLT,mean_reversion,60,5,80.0,10.0,56,224,0,0,0.7,150,59,49.2,11.31,1.23,15.3,29.9,1,0,0,0,58,0,0
AFLT,mean_reversion,60,6,80.0,10.0,56,224,0,48,0.7,150,59,49.2,11.31,1.23,15.3,29.9,1,0,0,0,58,0,0
AFLT,mean_reversion,60,7,75.0,10.0,56,112,39,0,0.7,150,67,47.8,11.34,1.18,18.43,27.2,0,0,13,0,54,0,0
AFLT,mean_reversion,60,8,75.0,10.0,56,112,39,0,0.7,150,67,47.8,11.34,1.18,18.43,27.2,0,0,13,0,54,0,0
AFLT,mean_reversion,60,9,75.0,10.0,56,112,39,0,0.7,150,67,47.8,11.34,1.18,18.43,27.2,0,0,13,0,54,0,0
AFLT,mean_reversion,60,10,75.0,10.0,56,168,39,0,0.7,150,67,47.8,11.34,1.18,18.43,27.2,0,0,13,0,54,0,0
ALRS,mean_reversion,60,0,80.0,20.0,90,270,64,77,0.7,,93,28.0,-68.36,0.33,68.7,29.9,0,0,1,0,92,0,0
ALRS,mean_reversion,60,1,75.0,10.0,63,126,0,0,0.7,90,71,39.4,-3.43,0.93,17.58,18.0,0,0,0,0,71,0,0
ALRS,mean_reversion,60,2,75.0,10.0,63,126,0,32,0.7,90,71,39.4,-3.43,0.93,17.58,18.0,0,0,0,0,71,0,0
ALRS,mean_reversion,60,3,75.0,10.0,63,126,0,54,0.7,90,71,39.4,-3.43,0.93,17.58,18.0,0,0,0,0,71,0,0
ALRS,mean_reversion,60,4,75.0,10.0,63,189,0,0,0.7,90,71,39.4,-3.43,0.93,17.58,18.0,0,0,0,0,71,0,0
ALRS,mean_reversion,60,5,75.0,10.0,63,189,0,32,0.7,90,71,39.4,-3.43,0.93,17.58,18.0,0,0,0,0,71,0,0
ALRS,mean_reversion,60,6,75.0,10.0,63,189,0,54,0.7,90,71,39.4,-3.43,0.93,17.58,18.0,0,0,0,0,71,0,0
