ticker,signal_mode,days,rank,ob_value,os_value,stop_ticks,take_profit_ticks,trailing_stop_ticks,breakeven_ticks,atr_ratio_min,n_trades,win_rate,total_pnl,profit_factor,max_drawdown,avg_hold_candles,exit_stop_loss,exit_take_profit,exit_trailing_stop,exit_breakeven_stop,exit_timeout,exit_eod_close,exit_other
AFLT,trend,60,0,80.0,20.0,80,240,56,68,0.7,94,44.7,-17.47,0.81,30.47,29.3,0,0,7,0,87,0,0
AFLT,trend,60,1,85.0,25.0,112,224,0,95,0.0,99,44.4,-21.35,0.78,28.75,30.0,0,0,0,0,99,0,0
AFLT,trend,60,2,85.0,25.0,112,336,0,95,0.0,99,44.4,-21.35,0.78,28.75,30.0,0,0,0,0,99,0,0
AFLT,trend,60,3,85.0,25.0,112,448,0,95,0.0,99,44.4,-21.35,0.78,28.75,30.0,0,0,0,0,99,0,0
AFLT,trend,60,4,85.0,25.0,80,160,56,0,0.0,100,42.0,-25.64,0.75,32.65,29.0,0,0,8,0,92,0,0
AFLT,trend,60,5,85.0,25.0,80,240,56,0,0.0,100,42.0,-25.64,0.75,32.65,29.0,0,0,8,0,92,0,0
AFLT,trend,60,6,85.0,25.0,80,320,56,0,0.0,100,42.0,-25.64,0.75,32.65,29.0,0,0,8,0,92,0,0
AFLT,trend,60,7,85.0,25.0,112,224,56,0,0.0,100,42.0,-25.64,0.75,32.65,29.0,0,0,8,0,92,0,0
AFLT,trend,60,8,85.0,25.0,112,336,56,0,0.0,100,42.0,-25.64,0.75,32.65,29.0,0,0,8,0,92,0,0
AFLT,trend,60,9,85.0,25.0,112,448,56,0,0.0,100,42.0,-25.64,0.75,32.65,29.0,0,0,8,0,92,0,0
AFLT,trend,60,10,85.0,25.0,112,224,0,95,0.5,96,44.8,-23.96,0.75,30.97,30.0,0,0,0,0,96,0,0
ALRS,trend,60,0,80.0,20.0,90,270,64,77,0.7,92,28.3,-68.2,0.33,68.7,29.9,0,0,1,0,91,0,0
ALRS,trend,60,1,75.0,25.0,63,126,0,54,0.7,112,43.8,-16.36,0.79,17.7,30.0,0,0,0,0,112,0,0
ALRS,trend,60,2,75.0,25.0,63,189,0,54,0.7,112,43.8,-16.36,0.79,17.7,30.0,0,0,0,0,112,0,0
ALRS,trend,60,3,75.0,25.0,63,252,0,54,0.7,112,43.8,-16.36,0.79,17.7,30.0,0,0,0,0,112,0,0
