ticker,rank,profit_factor,total_pnl,n_trades,win_rate,ob_value,os_value,stop_ticks,take_profit_ticks,trailing_stop_ticks,breakeven_ticks,atr_ratio_min,max_hold_minutes,entry_margin,signal_mode,cur_profit_factor,cur_total_pnl,cur_n_trades,cur_win_rate
AFLT,1,16.71,29.38,42,14.3,80.0,15.0,56,56,0,0,0.0,150,10.0,mean_reversion,-1.21,-0.89,45,11.1
AFLT,2,16.71,29.38,42,14.3,80.0,15.0,56,56,0,0,0.5,150,10.0,mean_reversion,-1.21,-0.89,45,11.1
AFLT,3,14.3,8.57,45,2.2,80.0,15.0,56,84,0,28,0.7,90,10.0,mean_reversion,-1.21,-0.89,45,11.1
AFLT,4,13.13,7.4,47,2.1,80.0,15.0,56,84,0,0,0.0,90,10.0,mean_reversion,-1.21,-0.89,45,11.1
AFLT,5,13.13,7.4,47,2.1,80.0,15.0,56,84,0,0,0.5,90,10.0,mean_reversion,-1.21,-0.89,45,11.1
AFLT,6,12.48,7.0,47,2.1,80.0,15.0,80,80,0,0,0.0,90,10.0,mean_reversion,-1.21,-0.89,45,11.1
AFLT,7,12.48,7.0,47,2.1,80.0,15.0,80,80,0,0,0.5,90,10.0,mean_reversion,-1.21,-0.89,45,11.1
AFLT,8,12.48,7.0,47,2.1,80.0,15.0,80,80,0,40,0.0,90,10.0,mean_reversion,-1.21,-0.89,45,11.1
AFLT,9,12.48,7.0,47,2.1,80.0,15.0,80,80,0,40,0.5,90,10.0,mean_reversion,-1.21,-0.89,45,11.1
AFLT,10,9.29,5.76,45,2.2,80.0,15.0,56,56,0,28,0.7,90,10.0,mean_reversion,-1.21,-0.89,45,11.1
ALRS,1,0.28,-31.53,54,3.7,85.0,25.0,63,63,0,0,0.5,150,10.0,mean_reversion,-0.17,-42.77,47,2.1
ALRS,2,0.28,-31.73,54,3.7,85.0,25.0,63,63,0,32,0.5,150,10.0,mean_reversion,-0.17,-42.77,47,2.1
ALRS,3,0.27,-32.33,54,3.7,85.0,25.0,63,63,0,0,0.0,150,10.0,mean_reversion,-0.17,-42.77,47,2.1
ALRS,4,0.27,-32.53,54,3.7,85.0,25.0,63,63,0,32,0.0,150,10.0,mean_reversion,-0.17,-42.77,47,2.1
ALRS,5,0.26,-34.96,57,3.5,80.0,25.0,63,63,0,0,0.0,150,10.0,mean_reversion,-0.17,-42.77,47,2.1
ALRS,6,0.26,-34.36,57,3.5,80.0,25.0,63,63,0,0,0.5,150,10.0,mean_reversion,-0.17,-42.77,47,2.1
ALRS,7,0.26,-35.16,57,3.5,80.0,25.0,63,63,0,32,0.0,150,10.0,mean_reversion,-0.17,-42.77,47,2.1
