ticker,rank,profit_factor,total_pnl,n_trades,win_rate,ob_value,os_value,stop_ticks,take_profit_ticks,trailing_stop_ticks,breakeven_ticks,atr_ratio_min,max_hold_minutes,entry_margin,signal_mode,cur_profit_factor,cur_total_pnl,cur_n_trades,cur_win_rate
AFLT,1,2.07,29.38,42,54.8,80.0,15.0,56,56,0,0,0.0,150,10.0,mean_reversion,2.07,29.38,42,54.8
AFLT,2,2.07,29.38,42,54.8,80.0,15.0,56,56,0,0,0.5,150,10.0,mean_reversion,2.07,29.38,42,54.8
AFLT,3,2.06,29.48,40,60.0,80.0,15.0,39,58,0,0,0.7,150,10.0,mean_reversion,2.07,29.38,42,54.8
AFLT,4,2.0,27.48,41,53.7,80.0,15.0,56,84,0,0,0.0,150,10.0,mean_reversion,2.07,29.38,42,54.8
AFLT,5,2.0,27.48,41,53.7,80.0,15.0,56,84,0,0,0.5,150,10.0,mean_reversion,2.07,29.38,42,54.8
AFLT,6,1.97,27.58,42,50.0,80.0,15.0,56,56,0,28,0.0,150,10.0,mean_reversion,2.07,29.38,42,54.8
AFLT,7,1.97,27.58,42,50.0,80.0,15.0,56,56,0,28,0.5,150,10.0,mean_reversion,2.07,29.38,42,54.8
AFLT,8,1.96,26.28,41,53.7,80.0,15.0,78,78,0,0,0.0,150,10.0,mean_reversion,2.07,29.38,42,54.8
AFLT,9,1.96,26.28,41,53.7,80.0,15.0,78,78,0,0,0.5,150,10.0,mean_reversion,2.07,29.38,42,54.8
AFLT,10,1.96,26.28,41,53.7,80.0,15.0,78,78,0,39,0.0,150,10.0,mean_reversion,2.07,29.38,42,54.8
CHMF,1,1.56,35.78,49,49.0,75.0,20.0,64,64,0,32,0.0,150,5.0,trend,1.36,25.83,40,57.5
CHMF,2,1.55,35.58,49,51.0,75.0,20.0,64,64,0,0,0.0,150,5.0,trend,1.36,25.83,40,57.5
CHMF,3,1.54,34.66,48,47.9,75.0,20.0,64,64,0,32,0.5,150,5.0,trend,1.36,25.83,40,57.5
CHMF,4,1.53,34.46,48,50.0,75.0,20.0,64,64,0,0,0.5,150,5.0,trend,1.36,25.83,40,57.5
CHMF,5,1.48,32.7,50,52.0,75.0,20.0,46,46,0,0,0.0,150,5.0,trend,1.36,25.83,40,57.5
CHMF,6,1.48,32.58,49,51.0,75.0,20.0,46,69,0,0,0.0,150,5.0,trend,1.36,25.83,40,57.5
CHMF,7,1.48,30.78,49,51.0,75.0,20.0,64,96,0,0,0.0,150,5.0,trend,1.36,25.83,40,57.5
CHMF,8,1.48,30.98,49,49.0,75.0,20.0,64,96,0,32,0.0,150,5.0,trend,1.36,25.83,40,57.5
CHMF,9,1.48,30.78,49,51.0,75.0,20.0,64,128,0,0,0.0,150,5.0,trend,1.36,25.83,40,57.5
CHMF,10,1.48,30.98,49,49.0,75.0,20.0,64,128,0,32,0.0,150,5.0,trend,1.36,25.83,40,57.5
GAZP,1,1.56,52.64,40,47.5,80.0,15.0,133,200,0,66,0.0,150,5.0,mean_reversion,1.56,52.64,40,47.5
GAZP,2,1.46,50.73,50,42.0,80.0,25.0,93,186,0,46,0.7,150,5.0,mean_reversion,1.56,52.64,40,47.5
GAZP,3,1.45,47.55,40,50.0,80.0,15.0,133,200,0,0,0.0,150,5.0,mean_reversion,1.56,52.64,40,47.5
GAZP,4,1.44,45.21,52,55.8,80.0,25.0,133,200,0,0,0.7,90,5.0,mean_reversion,1.56,52.64,40,47.5
GAZP,5,1.4,41.01,52,55.8,80.0,25.0,186,186,0,0,0.7,90,5.0,mean_reversion,1.56,52.64,40,47.5
GAZP,6,1.39,45.13,51,39.2,80.0,25.0,93,186,0,46,0.5,150,5.0,mean_reversion,1.56,52.64,40,47.5
GAZP,7,1.38,40.81,53,52.8,80.0,25.0,133,200,0,0,0.5,90,5.0,mean_reversion,1.56,52.64,40,47.5
GAZP,8,1.38,39.32,52,55.8,80.0,25.0,93,186,0,0,0.7,90,5.0,mean_reversion,1.56,52.64,40,47.5
GAZP,9,1.38,35.94,40,47.5,80.0,15.0,133,133,0,66,0.0,150,5.0,mean_reversion,1.56,52.64,40,47.5
GAZP,10,1.35,42.1,53,39.6,80.0,25.0,93,186,0,46,0.0,150,5.0,mean_reversion,1.56,52.64,40,47.5
GMKN,1,2.34,103.85,40,52.5,75.0,15.0,83,166,0,0,0.0,90,3.0,mean_reversion,1.2,22.5,42,52.4
GMKN,2,2.32,95.21,40,55.0,75.0,15.0,59,118,0,0,0.5,90,3.0,mean_reversion,1.2,22.5,42,52.4
GMKN,3,2.25,97.64,40,50.0,75.0,15.0,83,166,0,42,0.0,90,3.0,mean_reversion,1.2,22.5,42,52.4
GMKN,4,2.19,90.98,41,53.7,75.0,15.0,59,118,0,0,0.0,90,3.0,mean_reversion,1.2,22.5,42,52.4
GMKN,5,2.18,85.61,40,55.0,75.0,15.0,59,88,0,0,0.5,90,3.0,mean_reversion,1.2,22.5,42,52.4
GMKN,6,2.16,86.2,40,50.0,75.0,15.0,59,118,0,30,0.5,90,3.0,mean_reversion,1.2,22.5,42,52.4
GMKN,7,2.12,87.07,40,52.5,75.0,15.0,83,124,0,0,0.0,90,3.0,mean_reversion,1.2,22.5,42,52.4
GMKN,8,2.07,82.97,41,48.8,75.0,15.0,59,118,0,30,0.0,90,3.0,mean_reversion,1.2,22.5,42,52.4
GMKN,9,2.06,81.38,41,53.7,75.0,15.0,59,88,0,0,0.0,90,3.0,mean_reversion,1.2,22.5,42,52.4
GMKN,10,2.04,80.86,40,50.0,75.0,15.0,83,124,0,42,0.0,90,3.0,mean_reversion,1.2,22.5,42,52.4
LKOH,1,1.7,224.01,41,56.1,75.0,25.0,167,334,0,0,0.7,150,5.0,trend,1.34,114.85,48,43.8
LKOH,2,1.66,188.57,42,45.2,75.0,10.0,167,334,0,0,0.5,150,10.0,trend,1.34,114.85,48,43.8
LKOH,3,1.66,188.57,42,45.2,75.0,10.0,167,334,0,84,0.5,150,10.0,trend,1.34,114.85,48,43.8
LKOH,4,1.65,212.01,41,53.7,75.0,25.0,167,334,0,84,0.7,150,5.0,trend,1.34,114.85,48,43.8
LKOH,5,1.6,179.17,43,44.2,75.0,10.0,167,334,0,0,0.0,150,10.0,trend,1.34,114.85,48,43.8
LKOH,6,1.6,179.17,43,44.2,75.0,10.0,167,334,0,84,0.0,150,10.0,trend,1.34,114.85,48,43.8
LKOH,7,1.57,181.99,41,56.1,75.0,25.0,167,250,0,0,0.7,150,5.0,trend,1.34,114.85,48,43.8
LKOH,8,1.55,175.99,41,56.1,75.0,25.0,119,238,0,0,0.7,150,5.0,trend,1.34,114.85,48,43.8
LKOH,9,1.52,145.54,42,45.2,75.0,10.0,119,238,0,60,0.5,150,10.0,trend,1.34,114.85,48,43.8
LKOH,10,1.52,169.99,41,53.7,75.0,25.0,167,250,0,84,0.7,150,5.0,trend,1.34,114.85,48,43.8
MAGN,1,2.42,22.02,42,50.0,85.0,25.0,100,200,0,50,0.7,150,3.0,trend,1.35,9.59,53,45.3
MAGN,2,2.35,22.2,40,50.0,85.0,20.0,100,200,0,50,0.5,150,3.0,trend,1.35,9.59,53,45.3
MAGN,3,2.34,27.89,50,54.0,80.0,25.0,140,280,0,70,0.7,150,5.0,trend,1.35,9.59,53,45.3
MAGN,4,2.3,21.85,41,48.8,85.0,20.0,100,200,0,50,0.0,150,3.0,trend,1.35,9.59,53,45.3
MAGN,5,2.29,21.11,45,46.7,85.0,25.0,100,200,0,50,0.5,150,3.0,trend,1.35,9.59,53,45.3
MAGN,6,2.26,19.52,42,50.0,85.0,25.0,100,150,0,50,0.7,150,3.0,trend,1.35,9.59,53,45.3
MAGN,7,2.23,24.24,50,52.0,80.0,25.0,100,200,0,50,0.7,150,5.0,trend,1.35,9.59,53,45.3
MAGN,8,2.22,18.87,42,50.0,85.0,25.0,100,100,0,50,0.7,150,3.0,trend,1.35,9.59,53,45.3
MAGN,9,2.19,19.7,40,50.0,85.0,20.0,100,150,0,50,0.5,150,3.0,trend,1.35,9.59,53,45.3
MAGN,10,2.18,20.34,47,46.8,85.0,25.0,100,200,0,50,0.0,150,3.0,trend,1.35,9.59,53,45.3
MGNT,1,1.51,115.21,44,38.6,85.0,25.0,35,52,0,18,0.5,150,10.0,trend,1.51,115.85,40,42.5
MGNT,2,1.51,115.85,40,42.5,85.0,25.0,35,52,0,18,0.7,150,10.0,trend,1.51,115.85,40,42.5
MGNT,3,1.49,111.35,40,45.0,85.0,25.0,49,49,0,24,0.7,150,10.0,trend,1.51,115.85,40,42.5
MGNT,4,1.48,110.71,44,40.9,85.0,25.0,49,49,0,24,0.5,150,10.0,trend,1.51,115.85,40,42.5
MGNT,5,1.48,96.68,41,34.1,85.0,25.0,35,52,0,18,0.0,150,3.0,trend,1.51,115.85,40,42.5
MGNT,6,1.47,112.23,43,44.2,85.0,25.0,35,52,0,0,0.5,150,10.0,trend,1.51,115.85,40,42.5
MGNT,7,1.45,91.18,41,36.6,85.0,25.0,49,49,0,24,0.0,150,3.0,trend,1.51,115.85,40,42.5
MGNT,8,1.44,93.2,40,40.0,85.0,25.0,35,52,0,0,0.0,150,3.0,trend,1.51,115.85,40,42.5
MGNT,9,1.43,103.72,43,44.2,85.0,25.0,49,49,0,0,0.5,150,10.0,trend,1.51,115.85,40,42.5
MGNT,10,1.43,102.82,42,38.1,85.0,25.0,35,52,0,18,0.5,150,5.0,trend,1.51,115.85,40,42.5
NLMK,1,1.49,30.98,43,51.2,85.0,20.0,44,44,0,0,0.0,150,10.0,trend,1.14,10.01,43,44.2
NLMK,2,1.49,30.98,43,51.2,85.0,20.0,44,44,0,0,0.5,150,10.0,trend,1.14,10.01,43,44.2
NLMK,3,1.35,20.71,42,40.5,85.0,20.0,44,44,0,22,0.7,150,10.0,trend,1.14,10.01,43,44.2
NLMK,4,1.3,19.19,41,46.3,85.0,20.0,44,44,0,0,0.0,150,5.0,trend,1.14,10.01,43,44.2
NLMK,5,1.3,19.19,41,46.3,85.0,20.0,44,44,0,0,0.5,150,5.0,trend,1.14,10.01,43,44.2
NLMK,6,1.24,19.57,44,50.0,85.0,25.0,44,44,0,0,0.7,150,10.0,trend,1.14,10.01,43,44.2
NLMK,7,1.24,17.63,40,47.5,80.0,25.0,88,88,0,44,0.7,90,5.0,mean_reversion,1.14,10.01,43,44.2
NLMK,8,1.21,12.53,40,35.0,85.0,15.0,44,44,0,22,0.0,150,5.0,trend,1.14,10.01,43,44.2
NLMK,9,1.21,12.53,40,35.0,85.0,15.0,44,44,0,22,0.0,150,10.0,trend,1.14,10.01,43,44.2
NLMK,10,1.21,12.53,40,35.0,85.0,15.0,44,44,0,22,0.5,150,5.0,trend,1.14,10.01,43,44.2
NVTK,1,1.38,28.29,40,60.0,80.0,10.0,42,63,0,0,0.0,150,10.0,mean_reversion,1.38,28.29,40,60.0
NVTK,2,1.31,22.6,40,52.5,80.0,10.0,42,63,0,0,0.0,90,10.0,mean_reversion,1.38,28.29,40,60.0
NVTK,3,1.2,12.29,40,60.0,80.0,10.0,42,42,0,0,0.0,90,10.0,mean_reversion,1.38,28.29,40,60.0
NVTK,4,1.16,12.29,40,45.0,80.0,10.0,42,84,0,0,0.0,90,10.0,mean_reversion,1.38,28.29,40,60.0
NVTK,5,1.15,9.98,40,65.0,80.0,10.0,42,42,0,0,0.0,150,10.0,mean_reversion,1.38,28.29,40,60.0
NVTK,6,1.09,8.28,40,50.0,80.0,10.0,42,84,0,0,0.0,150,10.0,mean_reversion,1.38,28.29,40,60.0
NVTK,7,1.08,6.51,40,52.5,75.0,10.0,42,63,0,0,0.0,90,5.0,mean_reversion,1.38,28.29,40,60.0
NVTK,8,1.03,2.34,41,46.3,80.0,10.0,29,58,0,0,0.0,150,10.0,mean_reversion,1.38,28.29,40,60.0
NVTK,9,1.02,1.96,43,30.2,75.0,20.0,59,118,0,30,0.5,150,3.0,mean_reversion,1.38,28.29,40,60.0
NVTK,10,1.02,1.94,41,43.9,80.0,10.0,29,58,0,0,0.0,90,10.0,mean_reversion,1.38,28.29,40,60.0
PHOR,1,1.41,322.77,54,53.7,80.0,25.0,137,137,0,0,0.0,150,5.0,trend,1.33,200.17,47,48.9
PHOR,2,1.39,225.13,41,51.2,80.0,25.0,137,137,0,0,0.0,150,3.0,trend,1.33,200.17,47,48.9
PHOR,3,1.38,233.54,41,48.8,90.0,25.0,137,274,0,0,0.0,150,5.0,trend,1.33,200.17,47,48.9
PHOR,4,1.37,172.17,40,27.5,85.0,15.0,69,138,0,34,0.7,150,5.0,trend,1.33,200.17,47,48.9
PHOR,5,1.37,172.17,40,27.5,85.0,15.0,69,138,0,34,0.7,150,10.0,trend,1.33,200.17,47,48.9
PHOR,6,1.35,256.35,48,54.2,80.0,25.0,137,137,0,0,0.7,150,5.0,trend,1.33,200.17,47,48.9
PHOR,7,1.34,211.49,41,48.8,90.0,25.0,137,206,0,0,0.0,150,5.0,trend,1.33,200.17,47,48.9
PHOR,8,1.33,200.17,47,48.9,90.0,25.0,98,196,0,0,0.0,90,10.0,trend,1.33,200.17,47,48.9
PHOR,9,1.33,205.96,41,48.8,90.0,25.0,98,147,0,0,0.0,150,5.0,trend,1.33,200.17,47,48.9
PHOR,10,1.33,201.0,41,48.8,90.0,25.0,137,137,0,0,0.0,150,5.0,trend,1.33,200.17,47,48.9
PLZL,1,1.97,159.29,49,51.0,85.0,15.0,80,80,0,40,0.5,150,10.0,trend,1.42,90.56,50,50.0
PLZL,2,1.97,102.5,40,55.0,75.0,10.0,56,56,0,28,0.7,150,3.0,trend,1.42,90.56,50,50.0
PLZL,3,1.93,155.86,51,51.0,85.0,15.0,80,80,0,40,0.0,150,10.0,trend,1.42,90.56,50,50.0
PLZL,4,1.88,145.04,48,50.0,85.0,15.0,80,80,0,40,0.5,150,5.0,trend,1.42,90.56,50,50.0
PLZL,5,1.86,95.94,43,51.2,75.0,10.0,56,56,0,28,0.5,150,3.0,trend,1.42,90.56,50,50.0
PLZL,6,1.84,136.23,44,59.1,90.0,15.0,80,120,0,0,0.0,90,10.0,trend,1.42,90.56,50,50.0
